Squamous cell carcinoma,-232764.42557504977,0,2000,1,-31444.96169961604,-1.0
Squamous cell carcinoma,-232764.42557504977,0,2001,8.7063e-11,-78072.22924852783,-10569.794623697166
Squamous cell carcinoma,-232764.42557504977,0,2002,7.185299999999999e-11,-66127.9071884743,-11413.583957603967
Squamous cell carcinoma,-232764.42557504977,0,2003,5.6643e-11,-69490.06731571165,-12552.825777110378
Squamous cell carcinoma,-232764.42557504977,0,2004,4.1433e-11,-94103.38293792069,-14225.300456102663
Squamous cell carcinoma,-232764.42557504977,0,2005,2.6223e-11,-104628.30531910722,-17081.541090696875
Squamous cell carcinoma,-232764.42557504977,0,2006,1.1013000000000009e-11,-188583.08679226233,-24167.83483722063
Squamous cell carcinoma,-232764.42557504977,0,2007,6.9811e-11,-60121.822875384714,-11545.97084131262
Squamous cell carcinoma,-232764.42557504977,0,2008,1.3580000000000045e-12,-85034.35554295083,-55826.46028992123
Squamous cell carcinoma,-232764.42557504977,0,2009,6.41e-13,-115575.03824913275,-75380.11370138422
Large cell lymphoma,-137565.26160695826,1,2000,1,-31443.96169961604,-1.0
Large cell lymphoma,-137565.26160695826,1,2001,1,-67502.43462483067,-1.0
Large cell lymphoma,-137565.26160695826,1,2002,1,-54714.32323087034,-1.0
Large cell lymphoma,-137565.26160695826,1,2003,2.03967e-10,-56937.24153860127,-7519.2761822444145
Large cell lymphoma,-137565.26160695826,1,2004,3.008899999999999e-11,-79878.08248181803,-16167.27770596581
Large cell lymphoma,-137565.26160695826,1,2005,1.5236000000000002e-11,-87546.76422841035,-21225.191360057226
Large cell lymphoma,-137565.26160695826,1,2006,3.830000000000027e-13,-164415.2519550417,-92623.35126129613
Large cell lymphoma,-137565.26160695826,1,2007,0.000721716,-48575.85203407209,-18.05732716092309
Large cell lymphoma,-137565.26160695826,1,2008,0.016315892,-29207.895253029594,-5.18747087315347
Large cell lymphoma,-137565.26160695826,1,2009,0.0328626,-40194.924547748524,-3.9202993605723067
Secondary diabetes mellitus,-88938.45719285557,2,2000,8.89044e-10,-31442.96169961604,-4172.830056111406
Secondary diabetes mellitus,-88938.45719285557,2,2001,4.1969199999999994e-10,-67501.43462483067,-5634.141158064303
Secondary diabetes mellitus,-88938.45719285557,2,2002,5.03429e-10,-54713.32323087034,-5238.714226845475
Secondary diabetes mellitus,-88938.45719285557,2,2003,1.7422000000000046e-11,-49417.96535635686,-20116.887918128217
Secondary diabetes mellitus,-88938.45719285557,2,2004,3.1862e-11,-63710.804775852215,-15801.22607220691
Secondary diabetes mellitus,-88938.45719285557,2,2005,2.61973e-10,-66321.57286835312,-6802.951685402401
Secondary diabetes mellitus,-88938.45719285557,2,2006,5.665399999999999e-11,-71791.90069374556,-12551.850812395642
Secondary diabetes mellitus,-88938.45719285557,2,2007,2.1825999999999995e-11,-48557.79470691117,-18382.74401873134
Secondary diabetes mellitus,-88938.45719285557,2,2008,2.39227e-06,-29202.70778215644,-177.20497985525094
Secondary diabetes mellitus,-88938.45719285557,2,2009,3.60014e-05,-40191.00424838795,-59.906265114603606
Altered mental status,-47633.27549385071,3,2000,1.12159e-10,-27270.131643504636,-9551.384945262047
Altered mental status,-47633.27549385071,3,2001,1.6246999999999996e-11,-61867.293466766365,-20686.676730693416
Altered mental status,-47633.27549385071,3,2002,5.65198e-10,-49474.60900402486,-5001.724347577637
Altered mental status,-47633.27549385071,3,2003,1.114149e-09,-29301.07743822864,-3812.612698940011
Altered mental status,-47633.27549385071,3,2004,1.6631e-09,-47909.578703645304,-3248.1244047430664
Altered mental status,-47633.27549385071,3,2005,4.847510000000001e-10,-59518.621182950716,-5318.541036980122
Altered mental status,-47633.27549385071,3,2006,0.004697619,-59240.049881349914,-8.535891454780668
Altered mental status,-47633.27549385071,3,2007,0.13860970699999997,-30175.05068817983,-2.2043601016348866
Altered mental status,-47633.27549385071,3,2008,0.186686516,-29025.50280230119,-1.9568377579811167
Altered mental status,-47633.27549385071,3,2009,0.354415715,-40131.09798327335,-1.5142403400160185
Elevated white blood cell count,-45581.99875306582,4,2000,4.20286e-10,-17718.74669824259,-5630.95466134478
Elevated white blood cell count,-45581.99875306582,4,2001,8.388520000000001e-10,-41180.616736072945,-4270.963523073494
Elevated white blood cell count,-45581.99875306582,4,2002,1.257418e-09,-44472.884656447226,-3632.520975884238
Elevated white blood cell count,-45581.99875306582,4,2003,1.6759839999999999e-09,-25488.46473928863,-3238.1133914059396
Elevated white blood cell count,-45581.99875306582,4,2004,2.09455e-09,-44661.45429890224,-2961.8544114575366
Elevated white blood cell count,-45581.99875306582,4,2005,9.325000000000069e-12,-54200.08014597059,-25830.955057873303
Elevated white blood cell count,-45581.99875306582,4,2006,0.003102327,-59231.51398989513,-10.07685410897996
Elevated white blood cell count,-45581.99875306582,4,2007,0.078493766,-30172.846328078194,-2.7673617472990553
Elevated white blood cell count,-45581.99875306582,4,2008,0.133737192,-29023.54596454321,-2.2361406669869983
Elevated white blood cell count,-45581.99875306582,4,2009,0.330913156,-40129.58374293333,-1.5563755032593496
Pain NEC,-44909.54300670331,5,2000,1,-12087.79203689781,-1.0
Pain NEC,-44909.54300670331,5,2001,2.2765e-11,-36909.65321299945,-18075.608990081782
Pain NEC,-44909.54300670331,5,2002,2.86183e-09,-40840.36368056299,-2614.2220124089163
Pain NEC,-44909.54300670331,5,2003,1.4446929999999998e-09,-22250.35134788269,-3436.2897177855434
Pain NEC,-44909.54300670331,5,2004,2.7555999999999817e-11,-41699.5998874447,-16746.09418838747
